Name,HealthcareProviderId,HealthcareFacilityId,IsActive
Rakesh Iyer @ Hyderabad Main,0cmak000003E5PaAAK,0klak0000000DbfAAE,true
Vivek Rao @ Kolkata Main,0cmak000003E5PcAAK,0klak0000000DbgAAE,true
Arjun Mehta @ Gurgaon Cyber City,0cmak000003E5PVAA0,0klak0000000IGHAA2,true
Neha Sharma @ Gurgaon Sohna Road,0cmak000003E5PWAA0,0klak0000000IGIAA2,true
Rahul Verma @ Delhi Rohini,0cmak000003E5PXAA0,0klak0000000IGJAA2,true
Priya Kapoor @ Delhi Dwarka,0cmak000003E5PYAA0,0klak0000000IGKAA2,true
Karan Sethi @ Jaipur C-Scheme,0cmak000003E5PZAA0,0klak0000000IGLAA2,true
Sneha Nair @ Jaipur Raja Park,0cmak000003E5PbAAK,0klak0000000IGMAA2,true
Rakesh Iyer @ Mumbai Bandra,0cmak000003E5PaAAK,0klak0000000IGNAA2,true
Rakesh Iyer @ Mumbai Powai,0cmak000003E5PaAAK,0klak0000000IGOAA2,true
Sneha Nair @ Bengaluru Jayanagar,0cmak000003E5PbAAK,0klak0000000IGPAA2,true
Sneha Nair @ Bengaluru Marathahalli,0cmak000003E5PbAAK,0klak0000000IGQAA2,true
Vivek Rao @ Chennai Adyar,0cmak000003E5PcAAK,0klak0000000IGRAA2,true
Vivek Rao @ Chennai Velachery,0cmak000003E5PcAAK,0klak0000000IGSAA2,true
Rakesh Iyer @ Hyderabad Secunderabad OP,0cmak000003E5PaAAK,0klak0000000IGTAA2,true
Rakesh Iyer @ Hyderabad Gachibowli OP,0cmak000003E5PaAAK,0klak0000000IGUAA2,true
Vivek Rao @ Kolkata Salt Lake OP,0cmak000003E5PcAAK,0klak0000000IGVAA2,true
Vivek Rao @ Kolkata New Town OP,0cmak000003E5PcAAK,0klak0000000IGWAA2,true
